Mali,MLI,2.3
Malta,MLT,68.9138
Myanmar,MMR,1.2
Middle East & North Africa (developing only),MNA,34.139027521653
Montenegro,MNE,56.8
Mongolia,MNG,17.7
Northern Mariana Islands,MNP,
Mozambique,MOZ,5.4
Mauritania,MRT,6.2
Mauritius,MUS,39
Malawi,MWI,5.4
Malaysia,MYS,66.97
North America,NAC,84.3604738834816
Namibia,NAM,13.9
New Caledonia,NCL,66
Niger,NER,1.7
Nigeria,NGA,38
Nicaragua,NIC,15.5
Netherlands,NLD,93.9564
High income: nonOECD,NOC,65.6841897423111
Norway,NOR,95.0534
Nepal,NPL,13.3
New Zealand,NZL,82.78
High income: OECD,OEC,81.1718516097076
OECD members,OED,75.3900096548775
Oman,OMN,66.45
Other small states,OSS,16.2151574468656
Pakistan,PAK,10.9
Panama,PAN,42.9
Peru,PER,39.2
Philippines,PHL,37
Palau,PLW,
Papua New Guinea,PNG,6.5
Poland,POL,62.8492
Puerto Rico,PRI,73.9
"Korea, Dem. Rep.",PRK,
Portugal,PRT,62.0956
Paraguay,PRY,36.9
Pacific island small states,PSS,22.8710737688809
French Polynesia,PYF,56.8
Qatar,QAT,85.3
Romania,ROU,49.7645
Russian Federation,RUS,61.4
Rwanda,RWA,8.7
South Asia,SAS,13.7378281720872
Saudi Arabia,SAU,60.5
Southern Cone Extended,SCE,
Sudan,SDN,22.7
Senegal,SEN,20.9
Singapore,SGP,73
Solomon Islands,SLB,8
Sierra Leone,SLE,1.7
El Salvador,SLV,23.1093
San Marino,SMR,50.8
Somalia,SOM,1.5
Serbia,SRB,51.5
Sub-Saharan Africa (developing only),SSA,16.9198102070918
South Sudan,SSD,
Sub-Saharan Africa (all income levels),SSF,16.91938494777
Small states,SST,23.9180045652455
Sao Tome and Principe,STP,23
Suriname,SUR,37.4
Slovak Republic,SVK,77.8826
Slovenia,SVN,72.6756
Sweden,SWE,94.7836
Swaziland,SWZ,24.7
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,50.4
Syrian Arab Republic,SYR,26.2
Turks and Caicos Islands,TCA,
Chad,TCD,2.3
Togo,TGO,4.5
Thailand,THA,28.94
Tajikistan,TJK,16
Turkmenistan,TKM,9.6
Timor-Leste,TLS,1.1
Tonga,TON,35
Trinidad and Tobago,TTO,63.8
Tunisia,TUN,43.8
Turkey,TUR,46.25
Tuvalu,TUV,37
Tanzania,TZA,4.4
Uganda,UGA,16.2
Ukraine,UKR,41.8
Upper middle income,UMC,44.7927015325649
Uruguay,URY,58.1
United States,USA,84.2
Uzbekistan,UZB,38.2
St. Vincent and the Grenadines,VCT,52
"Venezuela, RB",VEN,54.9
Virgin Islands (U.S.),VIR,45.3
Vietnam,VNM,43.9
Vanuatu,VUT,11.3
West Bank and Gaza,PSE,46.6
World,WLD,38.1323385512
Samoa,WSM,15.3
"Yemen, Rep.",YEM,20
South Africa,ZAF,48.9
"Congo, Dem. Rep.",COD,2.2
Zambia,ZMB,15.4
Zimbabwe,ZWE,18.5
